id_ocorrencia,data_ocorrencia,tipo_vitima,instituicao,conduta,natureza_lesao,tipo_crime,uf,municipio,endereco,logradouro_sede,geolocalizacao,latitude,longitude
102,2007-07-16,Indivíduo,Polícia Civil,Operação policial,Crimes de lesão corporal (CP),Lesão corporal indeterminada,São Paulo,São Paulo,"Avenida Vereador João de Luca & Rua Nazaré Rezek Farah, Vila Santa Catarina","Esquina da Avenida Vereador João de Luca e da Rua Nazaré Rezek Farah, na Vila Santa Catarina, na Zona Sul",0101000020E6100000E41E01929F5547C0557B22991FA737C0,-23.6528259,-46.6689322
102,2007-07-16,Indivíduo,Polícia Civil,Operação policial,Crimes de lesão corporal (CP),Lesão corporal indeterminada,São Paulo,São Paulo,"Avenida Vereador João de Luca & Rua Nazaré Rezek Farah, Vila Santa Catarina","Esquina da Avenida Vereador João de Luca e da Rua Nazaré Rezek Farah, na Vila Santa Catarina, na Zona Sul",0101000020E6100000E41E01929F5547C0557B22991FA737C0,-23.6528259,-46.6689322
103,2007-07-15,Indivíduo,Policia Militar,Abordagem policial – Perseguição,Crimes contra a vida (CP),Morte decorrente de intervenção policial,São Paulo,Leme,Bairro Barra Funda,Bairro Barra Funda,0101000020E6100000072A3E99DAB047C07CE42032F62D36C0,-22.1795379,-47.3816711
104,2007-07-17,Indivíduo,Guarda Municipal,Abordagem policial – Perseguição,Crimes de lesão corporal (CP),Lesão corporal indeterminada,São Paulo,Campinas,Rodovia General Tavares Milton de Souza,"Rodovia General Tavares Milton de Souza (SP-332), que liga Campinas a Paulínia",0101000020E61000005798BED7108F47C0F8DEDFA0BDCE36C0,-22.807581,-47.1177015
106,2007-07-19,Indivíduo,Guarda Municipal,Abordagem policial – Perseguição,Crimes contra a vida (CP),Morte decorrente de intervenção policial,São Paulo,São Roque,"Rua Quirino Aguiar, Vila Aguiar",Rua Quirino Aguiar - Vila Aguiar,0101000020E6100000CC20E3F6709047C08347C08D398837C0,-23.5321282,-47.1284474
106,2007-07-19,Indivíduo,Guarda Municipal,Abordagem policial – Perseguição,Crimes contra a vida (CP),Morte decorrente de intervenção policial,São Paulo,São Roque,"Rua Quirino Aguiar, Vila Aguiar",Rua Quirino Aguiar - Vila Aguiar,0101000020E6100000CC20E3F6709047C08347C08D398837C0,-23.5321282,-47.1284474
107,2007-06-25,Indivíduo,Polícia Civil,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Encarceramento de forma ilegal ou com abuso de poder,São Paulo,Marília,,,0101000020E6100000BA3203F0AAF948C0FD1CD59FB33736C0,-22.2175846,-49.9505291
107,2007-06-25,Indivíduo,Polícia Civil,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Humilhar ou intimidar pessoas sob a guarda ou custódia do Estado,São Paulo,Marília,,,0101000020E6100000BA3203F0AAF948C0FD1CD59FB33736C0,-22.2175846,-49.9505291
107,2007-06-25,Indivíduo,Polícia Civil,Abordagem policial,Crimes contra a administração em geral (CP),Prevaricação,São Paulo,Marília,,,0101000020E6100000BA3203F0AAF948C0FD1CD59FB33736C0,-22.2175846,-49.9505291
108,2007-07-19,Indivíduo,Guarda Municipal,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,São Paulo,Piracicaba,Pronto-Socorro Piracicamirim,Pronto-Socorro Piracicamirim,0101000020E6100000EB1626F84BD047C00CDB60F250BD36C0,-22.7395164,-47.6273184
109,2007-02-27,Indivíduo,Policia Militar,Abordagem policial,Crimes contra a honra (CP),Injúria real,São Paulo,Suzano,"Rua Prudente de Moraes, Vila Amorim","Rua Prudente de Moraes, na altura da Vila Amorim.",0101000020E6100000C4E51D4C2F2647C07336D373C18937C0,-23.5381081,-46.2983184
112,2007-03-08,Coletividade,Policia Militar,Operação policial - Repressão a manifestação,Crimes de lesão corporal (CP),Lesão corporal indeterminada,São Paulo,São Paulo,MASP,Avenida Paulista (frente ao MASP),0101000020E6100000E84427F0F35347C03C84F1D3B88F37C0,-23.561414,-46.6558819
112,2007-03-08,Indivíduo,Policia Militar,Operação policial - Repressão a manifestação,Crimes de lesão corporal (CP),Lesão corporal indeterminada,São Paulo,São Paulo,MASP,Avenida Paulista (frente ao MASP),0101000020E6100000E84427F0F35347C03C84F1D3B88F37C0,-23.561414,-46.6558819
112,2007-03-08,Indivíduo,Policia Militar,Operação policial - Repressão a manifestação,Crimes de lesão corporal (CP),Lesão corporal indeterminada,São Paulo,São Paulo,MASP,Avenida Paulista (frente ao MASP),0101000020E6100000E84427F0F35347C03C84F1D3B88F37C0,-23.561414,-46.6558819
112,2007-03-08,Indivíduo,Policia Militar,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,São Paulo,São Paulo,MASP,Avenida Paulista (frente ao MASP),0101000020E6100000E84427F0F35347C03C84F1D3B88F37C0,-23.561414,-46.6558819
112,2007-03-08,Indivíduo,Policia Militar,Operação policial - Repressão a manifestação,Crimes de periclitação da vida e da saúde (CP),Omissão de socorro,São Paulo,São Paulo,MASP,Avenida Paulista (frente ao MASP),0101000020E6100000E84427F0F35347C03C84F1D3B88F37C0,-23.561414,-46.6558819
112,2007-03-08,Indivíduo,Policia Militar,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Impedir ou cercear o direito de reunião,São Paulo,São Paulo,MASP,Avenida Paulista (frente ao MASP),0101000020E6100000E84427F0F35347C03C84F1D3B88F37C0,-23.561414,-46.6558819
112,2007-03-08,Indivíduo,Policia Militar,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,São Paulo,São Paulo,MASP,Avenida Paulista (frente ao MASP),0101000020E6100000E84427F0F35347C03C84F1D3B88F37C0,-23.561414,-46.6558819
112,2007-03-08,Indivíduo,Policia Militar,Operação policial - Repressão a manifestação,Crimes de periclitação da vida e da saúde (CP),Omissão de socorro,São Paulo,São Paulo,MASP,Avenida Paulista (frente ao MASP),0101000020E6100000E84427F0F35347C03C84F1D3B88F37C0,-23.561414,-46.6558819
112,2007-03-08,Indivíduo,Policia Militar,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Impedir ou cercear o direito de reunião,São Paulo,São Paulo,MASP,Avenida Paulista (frente ao MASP),0101000020E6100000E84427F0F35347C03C84F1D3B88F37C0,-23.561414,-46.6558819
112,2007-03-08,Indivíduo,Policia Militar,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,São Paulo,São Paulo,MASP,Avenida Paulista (frente ao MASP),0101000020E6100000E84427F0F35347C03C84F1D3B88F37C0,-23.561414,-46.6558819
112,2007-03-08,Indivíduo,Policia Militar,Operação policial - Repressão a manifestação,Crimes de lesão corporal (CP),Lesão corporal indeterminada,São Paulo,São Paulo,MASP,Avenida Paulista (frente ao MASP),0101000020E6100000E84427F0F35347C03C84F1D3B88F37C0,-23.561414,-46.6558819
112,2007-03-08,Coletividade,Policia Militar,Operação policial - Repressão a manifestação,Crimes de periclitação da vida e da saúde (CP),Omissão de socorro,São Paulo,São Paulo,MASP,Avenida Paulista (frente ao MASP),0101000020E6100000E84427F0F35347C03C84F1D3B88F37C0,-23.561414,-46.6558819
112,2007-03-08,Coletividade,Policia Militar,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Impedir ou cercear o direito de reunião,São Paulo,São Paulo,MASP,Avenida Paulista (frente ao MASP),0101000020E6100000E84427F0F35347C03C84F1D3B88F37C0,-23.561414,-46.6558819
112,2007-03-08,Coletividade,Policia Militar,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,São Paulo,São Paulo,MASP,Avenida Paulista (frente ao MASP),0101000020E6100000E84427F0F35347C03C84F1D3B88F37C0,-23.561414,-46.6558819
112,2007-03-08,Indivíduo,Policia Militar,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Impedir ou cercear o direito de reunião,São Paulo,São Paulo,MASP,Avenida Paulista (frente ao MASP),0101000020E6100000E84427F0F35347C03C84F1D3B88F37C0,-23.561414,-46.6558819
112,2007-03-08,Indivíduo,Policia Militar,Operação policial - Repressão a manifestação,Crimes de periclitação da vida e da saúde (CP),Omissão de socorro,São Paulo,São Paulo,MASP,Avenida Paulista (frente ao MASP),0101000020E6100000E84427F0F35347C03C84F1D3B88F37C0,-23.561414,-46.6558819
113,2007-03-02,Indivíduo,Policia Militar,Abordagem policial,Crimes contra a liberdade sexual (CP),Estupro,São Paulo,Santo André,Rua Buquer Pitchman,Rua Buquer Pitchman,0101000020E6100000434CD3B1944547C0B1378CDD99AC37C0,-23.6742228,-46.5436003
113,2007-03-02,Indivíduo,Policia Militar,Abordagem policial,Crimes contra a liberdade sexual (CP),Estupro,São Paulo,Santo André,Rua Buquer Pitchman,Rua Buquer Pitchman,0101000020E6100000434CD3B1944547C0B1378CDD99AC37C0,-23.6742228,-46.5436003
114,2007-03-10,Indivíduo,Polícia Civil,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,São Paulo,São Paulo,Avenida Santos Dumont,"Avenida Santos Dumont, zona norte.",0101000020E61000004559BF99985047C02A4DEF87448437C0,-23.5166707,-46.62965699999999
114,2007-03-10,Indivíduo,Polícia Civil,Abordagem policial,Crimes contra a honra (CP),Injúria real,São Paulo,São Paulo,Avenida Santos Dumont,"Avenida Santos Dumont, zona norte.",0101000020E61000004559BF99985047C02A4DEF87448437C0,-23.5166707,-46.62965699999999
114,2007-03-10,Indivíduo,Polícia Civil,Abordagem policial,Crimes de lesão corporal (CP),Lesão corporal indeterminada,São Paulo,São Paulo,Avenida Santos Dumont,"Avenida Santos Dumont, zona norte.",0101000020E61000004559BF99985047C02A4DEF87448437C0,-23.5166707,-46.62965699999999
114,2007-03-10,Indivíduo,Polícia Civil,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,São Paulo,São Paulo,Avenida Santos Dumont,"Avenida Santos Dumont, zona norte.",0101000020E61000004559BF99985047C02A4DEF87448437C0,-23.5166707,-46.62965699999999
114,2007-03-10,Indivíduo,Polícia Civil,Abordagem policial,Crimes contra a liberdade pessoal (CP),Ameaça,São Paulo,São Paulo,Avenida Santos Dumont,"Avenida Santos Dumont, zona norte.",0101000020E61000004559BF99985047C02A4DEF87448437C0,-23.5166707,-46.62965699999999
114,2007-03-10,Indivíduo,Polícia Civil,Abordagem policial,Crimes contra a honra (CP),Injúria real,São Paulo,São Paulo,Avenida Santos Dumont,"Avenida Santos Dumont, zona norte.",0101000020E61000004559BF99985047C02A4DEF87448437C0,-23.5166707,-46.62965699999999
114,2007-03-10,Indivíduo,Polícia Civil,Abordagem policial,Crimes de lesão corporal (CP),Lesão corporal indeterminada,São Paulo,São Paulo,Avenida Santos Dumont,"Avenida Santos Dumont, zona norte.",0101000020E61000004559BF99985047C02A4DEF87448437C0,-23.5166707,-46.62965699999999
114,2007-03-10,Indivíduo,Polícia Civil,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,São Paulo,São Paulo,Avenida Santos Dumont,"Avenida Santos Dumont, zona norte.",0101000020E61000004559BF99985047C02A4DEF87448437C0,-23.5166707,-46.62965699999999
114,2007-03-10,Indivíduo,Polícia Civil,Abordagem policial,Crimes contra a liberdade pessoal (CP),Ameaça,São Paulo,São Paulo,Avenida Santos Dumont,"Avenida Santos Dumont, zona norte.",0101000020E61000004559BF99985047C02A4DEF87448437C0,-23.5166707,-46.62965699999999
114,2007-03-10,Indivíduo,Polícia Civil,Abordagem policial,Crimes contra a honra (CP),Injúria real,São Paulo,São Paulo,Avenida Santos Dumont,"Avenida Santos Dumont, zona norte.",0101000020E61000004559BF99985047C02A4DEF87448437C0,-23.5166707,-46.62965699999999
114,2007-03-10,Indivíduo,Polícia Civil,Abordagem policial,Crimes de lesão corporal (CP),Lesão corporal indeterminada,São Paulo,São Paulo,Avenida Santos Dumont,"Avenida Santos Dumont, zona norte.",0101000020E61000004559BF99985047C02A4DEF87448437C0,-23.5166707,-46.62965699999999
114,2007-03-10,Indivíduo,Polícia Civil,Abordagem policial,Crimes contra a liberdade pessoal (CP),Ameaça,São Paulo,São Paulo,Avenida Santos Dumont,"Avenida Santos Dumont, zona norte.",0101000020E61000004559BF99985047C02A4DEF87448437C0,-23.5166707,-46.62965699999999
115,2007-03-07,Indivíduo,Policia Militar,Operação policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,São Paulo,São Paulo,Favela da Vila Esperança,Favela da Vila Esperança,0101000020E61000002075E041584347C0FE19941FA78637C0,-23.5259876,-46.5261309
115,2007-03-07,Indivíduo,Policia Militar,Operação policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,São Paulo,São Paulo,Favela da Vila Esperança,Favela da Vila Esperança,0101000020E61000002075E041584347C0FE19941FA78637C0,-23.5259876,-46.5261309
117,2007-01-11,Indivíduo,Guarda Municipal,Abordagem policial,Crimes contra a vida (CP),Homicídio qualificado,São Paulo,Rio das Pedras,,,0101000020E61000007BBDFBE3BDCD47C068AF3E1EFAD636C0,-22.839754,-47.6073575
118,2007-07-22,Coletividade,Policia Militar,Operação policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,São Paulo,Santos,Emissário Submarino,Emissário Submarino - Bairro José Menino,0101000020E6100000CE5DB7ADD22C47C0AC3F1DEAD2F837C0,-23.9719683,-46.35017939999999
119,2007-03-18,Indivíduo,Guarda Municipal,Abordagem policial,Crimes de lesão corporal (CP),Lesão corporal indeterminada,São Paulo,Santa Bárbara d'Oeste,Avenida Pérola Byngton,"Feira livre do Centro da cidade, na Avenida Pérola Byngton.",0101000020E61000000371C394EDB347C0C20B6CDFEDBF36C0,-22.7497234,-47.4056879
119,2007-03-18,Indivíduo,Guarda Municipal,Abordagem policial,Crimes contra a honra (CP),Injúria real,São Paulo,Santa Bárbara d'Oeste,Avenida Pérola Byngton,"Feira livre do Centro da cidade, na Avenida Pérola Byngton.",0101000020E61000000371C394EDB347C0C20B6CDFEDBF36C0,-22.7497234,-47.4056879
119,2007-03-18,Indivíduo,Guarda Municipal,Abordagem policial,Crimes de lesão corporal (CP),Lesão corporal indeterminada,São Paulo,Santa Bárbara d'Oeste,Avenida Pérola Byngton,"Feira livre do Centro da cidade, na Avenida Pérola Byngton.",0101000020E61000000371C394EDB347C0C20B6CDFEDBF36C0,-22.7497234,-47.4056879
119,2007-03-18,Indivíduo,Guarda Municipal,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ofensa à honra ou ao patrimônio,São Paulo,Santa Bárbara d'Oeste,Avenida Pérola Byngton,"Feira livre do Centro da cidade, na Avenida Pérola Byngton.",0101000020E61000000371C394EDB347C0C20B6CDFEDBF36C0,-22.7497234,-47.4056879
119,2007-03-18,Indivíduo,Guarda Municipal,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ofensa à honra ou ao patrimônio,São Paulo,Santa Bárbara d'Oeste,Avenida Pérola Byngton,"Feira livre do Centro da cidade, na Avenida Pérola Byngton.",0101000020E61000000371C394EDB347C0C20B6CDFEDBF36C0,-22.7497234,-47.4056879
119,2007-03-18,Indivíduo,Guarda Municipal,Abordagem policial,Crimes contra a honra (CP),Injúria real,São Paulo,Santa Bárbara d'Oeste,Avenida Pérola Byngton,"Feira livre do Centro da cidade, na Avenida Pérola Byngton.",0101000020E61000000371C394EDB347C0C20B6CDFEDBF36C0,-22.7497234,-47.4056879
121,2007-03-21,Indivíduo,Policia Militar,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,São Paulo,São Paulo,Avenida Marquês de São Vicente,Avenida Marquês de São Vicente,0101000020E6100000B239BD416A5647C013375D05E78437C0,-23.5191501,-46.6751177
121,2007-03-21,Indivíduo,Policia Militar,Abordagem policial,Crimes contra a honra (CP),Injúria real,São Paulo,São Paulo,Avenida Marquês de São Vicente,Avenida Marquês de São Vicente,0101000020E6100000B239BD416A5647C013375D05E78437C0,-23.5191501,-46.6751177
122,2007-07-25,Indivíduo,Policia Militar,Abordagem policial – Perseguição,Crimes contra a vida (CP),Morte decorrente de intervenção policial,São Paulo,São Paulo,Avenida Presidente Wilson & Avenida Guido Aliberti,"Esquina das avenidas Presidente Wilson, Guido Aliberti e Conselheiro Antonio Prado",0101000020E6100000CA46318A2F4A47C06F1C6789849B37C0,-23.6074911,-46.5795758
122,2007-07-25,Indivíduo,Policia Militar,Abordagem policial – Perseguição,Crimes contra a vida (CP),Morte decorrente de intervenção policial,São Paulo,São Paulo,Avenida Presidente Wilson & Avenida Guido Aliberti,"Esquina das avenidas Presidente Wilson, Guido Aliberti e Conselheiro Antonio Prado",0101000020E6100000CA46318A2F4A47C06F1C6789849B37C0,-23.6074911,-46.5795758
123,2007-07-26,Indivíduo,Policia Militar,Abordagem policial – Perseguição,Crimes contra a vida (CP),Morte decorrente de intervenção policial,São Paulo,Araraquara,Centro,Região Central,0101000020E610000097A949F0861648C017B5A09C0DCA35C0,-21.7892702,-48.175993
