,id_ocorrencia,conduta,natureza_lesao,tipo_crime,uf,municipio,endereco,logradouro_sede,geolocalizacao,latitude,longitude
186,326,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Campinas,"Rua Moscou, Parque São Quirino",Rua Moscou - Parque São Quirino,0101000020E6100000CE209969568447C0FEF96CD38EDD36C0,-22.8654606,-47.0338871
187,330,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Humilhar ou intimidar pessoas sob a guarda ou custódia do Estado,SÃO PAULO,São José do Rio Preto,,,0101000020E6100000405A52A4B1B048C086B7BD9305D034C0,-20.8125851,-49.3804212
188,331,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Bragança Paulista,,,0101000020E61000003607639F5B4547C00186E5CFB7F336C0,-22.9520235,-46.5418586
189,336,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Carapicuíba,Vila Capriotti, Vila Capriotti,0101000020E6100000DBC51C13346B47C0C6A70018CF8C37C0,-23.550035,-46.837526692437415
190,338,Abordagem policial,Crimes contra a liberdade pessoal (CP),Ameaça,SÃO PAULO,São Paulo,Jardim Aeroporto,Jardim Aeroporto,0101000020E6100000DC645419C61B47C01DECA8C53B8F37C0,-23.5595058,-46.216983
191,338,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,SÃO PAULO,São Paulo,Jardim Aeroporto,Jardim Aeroporto,0101000020E6100000DC645419C61B47C01DECA8C53B8F37C0,-23.5595058,-46.216983
192,343,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Poá,Jardim Júlia,Jardim Júlia,0101000020E61000007FCEEEDAEF2B47C03B545392758637C0,-23.5252315,-46.3432573
193,345,Operação policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,São Paulo,Santo Amaro,Santo Amaro,0101000020E61000008F05E0FA0B5C47C0EF247DB5FEA737C0,-23.6562303,-46.7191156
194,346,Operação policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,São Paulo,,,0101000020E610000056EEAAAC125147C0FE04BC71F78C37C0,-23.5506507,-46.6333824
195,347,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Guarulhos,,,0101000020E6100000E38BF678214347C0C328AD646C7137C0,-23.4430602,-46.524459
196,348,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,São Paulo,Parelheiros,Parelheiros,0101000020E610000011F2B67ED55D47C0164B917C25D337C0,-23.82479075,-46.73307784970178
197,349,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,São Paulo,Itaquera,Itaquera,0101000020E61000008BC0FD254E3A47C0FF8A46883C8937C0,-23.5360799,-46.4555099
198,350,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Caçapava,,,0101000020E6100000C616821C94DA46C0E4A1EF6E651937C0,-23.099204,-45.707645
199,352,Operação policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,São Paulo,"Hotel Cristal, Rua Dom Francisco de Souza",Hotel Cristal - Rua Dom Francisco de Souza,0101000020E6100000DD4A0A87395147C08146448C328A37C0,-23.5398338,-46.6345681
200,353,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Penápolis,,,0101000020E61000004A1CC3ADCC0949C0C9271A5A536B35C0,-21.4192406,-50.0765588
201,355,Abordagem policial – Perseguição,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,São Paulo,,,0101000020E610000056EEAAAC125147C0FE04BC71F78C37C0,-23.5506507,-46.6333824
202,356,Abordagem policial – Perseguição,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,São Paulo,,,0101000020E610000056EEAAAC125147C0FE04BC71F78C37C0,-23.5506507,-46.6333824
203,357,Abordagem policial – Perseguição,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Araçoiaba da Serra,,,0101000020E6100000FA53F4D1F3CE47C0BB213251298137C0,-23.5045367,-47.6168158
204,358,Abordagem policial – Perseguição,Crimes de lesão corporal (CP),Lesão corporal indeterminada,SÃO PAULO,São Carlos,,,0101000020E6100000DD7A4D0F0AF247C00AD1C6B6B10436C0,-22.0183367,-47.890932
205,359,Abordagem policial,Crimes de lesão corporal (CP),Lesão corporal indeterminada,SÃO PAULO,Alvinlândia,,,0101000020E61000001B310E89D6E148C03B12D495747136C0,-22.4431852,-49.7643596
206,359,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Encarceramento de forma ilegal ou com abuso de poder,SÃO PAULO,Alvinlândia,,,0101000020E61000001B310E89D6E148C03B12D495747136C0,-22.4431852,-49.7643596
207,359,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,SÃO PAULO,Alvinlândia,,,0101000020E61000001B310E89D6E148C03B12D495747136C0,-22.4431852,-49.7643596
