,NUM_BO,RUBRICA,ANO,MES,CIDADE,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE
356551,173802,Furto (art. 155),2016,2,S.PAULO                                 ,RUA RAFAEL CORREIA DA SILVA             ,13,-23.49440679,-46.4042114
298249,1973,"Furto qualificado (art. 155, §4o.)",2016,5,S.PAULO                                 ,RUA ALBINA BARBOSA                      ,33,-23.5685163,-46.62572121
335167,112,Roubo (art. 157),2016,7,S.PAULO                                 ,RUA RUI PINTO                           ,200,-23.59724553,-46.72791744
344360,5718,Lesão corporal (art. 129),2016,8,S.PAULO                                 ,PARQUE DOM PEDRO II                     ,200,-23.54632032,-46.63117332
495041,135903,Furto (art. 155),2016,1,S.PAULO                                 ,R. DA CONSOLAÇÃO                        ,1414,-23.55095175,-46.65565461
26471,1445,Furto (art. 155),2016,3,MAUA                                    ,RUA CAETANO ALETO                       ,1050,-23.67520064,-46.43359948
80519,2207,Furto (art. 155),2016,8,S.PAULO                                 ,RUA LUIS DE FARIA                       ,100,-23.4946137,-46.67425035
54632,1968,"Furto qualificado (art. 155, §4o.)",2016,6,JANDIRA                                 ,ESTRADA DE ITU                          ,151,-23.52229841,-46.91683201
606878,2965,A.I.-Roubo (art. 157),2016,7,S.PAULO                                 ,RUA BARTOLOMEU ESTEVES                  ,128,-23.5416391,-46.49598322
580443,96,Lesão corporal (art 129 § 9º),2016,1,S.PAULO                                 ,RUA GALILEO EMENDABILI                  ,44,-23.52245598,-46.74345832
739783,9383,Lesão corporal culposa na direção de veículo automotor (Art. 303),2016,8,S.PAULO                                 ,AVENIDA VEREADOR JOSE DINIZ             ,2000,-23.61453306,-46.67274197
14639,1628193,Roubo (art. 157),2016,12,S.PAULO                                 ,RUA DO CANTO                            ,33,-23.61959616,-46.43038227
112630,1618869,Roubo (art. 157),2016,12,S.PAULO                                 ,ESTRADA DO MBOI MIRIM                   ,10150,-23.6888573,-46.77298128
494482,193023,Roubo (art. 157),2016,2,S.PAULO                                 ,RUA MORORO                              ,64,-23.55571788,-46.5527941
286819,1307702,Furto (art. 155),2016,10,S.PAULO                                 ,RUA OLIVEIRA PIMENTEL                   ,370,-23.58581803,-46.66671869
231420,2024,Furto (art. 155),2016,1,CARAPICUIBA                             ,AVENIDA INOCÊNCIO SERÁFICO              ,380,-23.56413227,-46.83178312
197958,1058940,Furto (art. 155),2016,8,S.PAULO                                 ,AVENIDA DEPUTADO CANTIDIO SAMPAIO       ,890,-23.46995607,-46.67678711
143106,8188,Roubo (art. 157),2016,11,S.PAULO                                 ,RUA FREIRE DE ANDRADE                   ,67,-23.5532577,-46.57175742
713217,271013,Roubo (art. 157),2016,2,SUZANO                                  ,RUA VALDEMIRO PEREIRA DE LIMA           ,0,-23.49657481,-46.30979125
534401,863213,Furto (art. 155),2016,7,S.PAULO                                 ,RUA ANGELO DE CANDIA                    ,540,-23.595319399999998,-46.48608488
673294,1549875,Roubo (art. 157),2016,12,S.PAULO                                 ,RUA PETHION DE VILAR                    ,79,-23.65953506,-46.78759044
